category,product_name,product_slug,city,store,quantity,price
CAV,Умная колонка ЯНДЕКС Новая Яндекс.Станция Мини (Черный оникс),umnaya-kolonka-yandeks-novaya-yandeksstanciya-mini-chernyy-oniks,Отеген Батыр,"ул. Жансугурова, 100А",1,41990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ, Мята",umnaya-kolonka-yandeks-stanciya-layt-myata,Отеген Батыр,"ул. Жансугурова, 100А",3,29990
CAV,Умная колонка ЯНДЕКС Яндекс Станция Макс с Zigbee (Бежевый),umnaya-kolonka-yandeks-yandeks-stanciya-maks-s-zigbee-bejevyy,Отеген Батыр,"ул. Жансугурова, 100А",2,174990
CAV,Умная колонка ЯНДЕКС Новая Яндекс.Станция Мини (Синий сапфир),umnaya-kolonka-yandeks-novaya-yandeksstanciya-mini-siniy-sapfir,Отеген Батыр,"ул. Жансугурова, 100А",1,41990
CAV,Умная колонка ЯНДЕКС Новая Яндекс.Станция Мини с часами (Синий сапфир),umnaya-kolonka-yandeks-novaya-yandeksstanciya-mini-s-chasami-siniy-sapfir,Отеген Батыр,"ул. Жансугурова, 100А",1,46990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ, Лимон",umnaya-kolonka-yandeks-stanciya-layt-limon,Отеген Батыр,"ул. Жансугурова, 100А",2,29990
CAV,"Умная колонка ЯНДЕКС Станция Миди с Алисой, с Zigbee (Изумрудный)",umnaya-kolonka-yandeks-stanciya-midi-s-alisoy-s-zigbee-izumrudnyy,Отеген Батыр,"ул. Жансугурова, 100А",1,89990
CAV,Умная колонка ЯНДЕКС Яндекс Станция Макс с Zigbee (Графит),umnaya-kolonka-yandeks-yandeks-stanciya-maks-s-zigbee-grafit,Отеген Батыр,"ул. Жансугурова, 100А",2,174990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ, Фламинго",umnaya-kolonka-yandeks-stanciya-layt-flamingo,Отеген Батыр,"ул. Жансугурова, 100А",1,29990
CAV,Портативная колонка JBL FLIP6 (white),portativnaya-kolonka-jbl-flip6-white,Отеген Батыр,"ул. Жансугурова, 100А",1,64990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ, Капучино",umnaya-kolonka-yandeks-stanciya-layt-kapuchino,Отеген Батыр,"ул. Жансугурова, 100А",2,29990
CAV,"Умная колонка ЯНДЕКС Станция Дуо Макс с Алисой, с Zigbee (Зелёный)",umnaya-kolonka-yandeks-stanciya-duo-maks-s-alisoy-s-zigbee-zelenyy,Отеген Батыр,"ул. Жансугурова, 100А",1,214990
CAV,Портативная колонка SOUNDMAX SM-PS5037B(черный),portativnaya-kolonka-soundmax-sm-ps5037bchernyy,Отеген Батыр,"ул. Жансугурова, 100А",1,8990
CAV,"Умная колонка ЯНДЕКС Станция ЛАЙТ, Чили",umnaya-kolonka-yandeks-stanciya-layt-chili,Отеген Батыр,"ул. Жансугурова, 100А",2,29990
CAV,Портативная колонка JBL GO4 (blue),portativnaya-kolonka-jbl-go4-blue,Отеген Батыр,"ул. Жансугурова, 100А",1,25990
CAV,Портативная колонка JBL GO4 (black),portativnaya-kolonka-jbl-go4-black,Отеген Батыр,"ул. Жансугурова, 100А",1,25990
CAV,Портативная колонка HONOR CHOICE VNA-00 (Red),portativnaya-kolonka-honor-choice-vna-00-red,Отеген Батыр,"ул. Жансугурова, 100А",1,19990
CAV,Портативная колонка HONOR CHOICE VNA-00 (Black),portativnaya-kolonka-honor-choice-vna-00-black,Отеген Батыр,"ул. Жансугурова, 100А",1,19990
CAV,Портативная колонка SOUNDMAX SM-PS5021B(синий),portativnaya-kolonka-soundmax-sm-ps5021bsiniy,Отеген Батыр,"ул. Жансугурова, 100А",2,11990
CAV,Портативная колонка SOUNDMAX SM-PS5022B,portativnaya-kolonka-soundmax-sm-ps5022b,Отеген Батыр,"ул. Жансугурова, 100А",1,9890
CAV,Портативная колонка SOUNDCORE Rave Neo 2,portativnaya-kolonka-soundcore-rave-neo-2,Отеген Батыр,"ул. Жансугурова, 100А",2,69990
CAV,Муз.центр LG ON77DK,muzcentr-lg-on77dk,Отеген Батыр,"ул. Жансугурова, 100А",1,235990
CAV,Муз.центр SAMSUNG Sound Tower MX-ST40B,muzcentr-samsung-sound-tower-mx-st40b,Отеген Батыр,"ул. Жансугурова, 100А",2,209970
CAV,Муз.центр SAMSUNG Sound Tower MX-ST90B,muzcentr-samsung-sound-tower-mx-st90b,Отеген Батыр,"ул. Жансугурова, 100А",1,499970
CAV,Дом. кинотеатр SAMSUNG HW-B750D Soundbar,dom-kinoteatr-samsung-hw-b750d-soundbar,Отеген Батыр,"ул. Жансугурова, 100А",1,199990
MWO,Микроволновая печь HANSA AMG F17M2 BH,mikrovolnovaya-pech-hansa-amg-f17m2-bh,Отеген Батыр,"ул. Жансугурова, 100А",3,39990
MWO,Микроволновая печь HISENSE H20MOBS5 (H20MOMS4),mikrovolnovaya-pech-hisense-h20mobs5-c20pxph20moms4,Отеген Батыр,"ул. Жансугурова, 100А",2,44990
MWO,Микроволновая печь HANSA AMG F17M2 WH,mikrovolnovaya-pech-hansa-amg-f17m2-wh,Отеген Батыр,"ул. Жансугурова, 100А",5,39990
MWO,Микроволновая печь HISENSE H20MOBS2 (H20MOWP1),mikrovolnovaya-pech-hisense-h20mobs2-h20mowp1,Отеген Батыр,"ул. Жансугурова, 100А",3,32990
MWO,Микроволновая печь SAMSUNG MS 23 K3614 AK,mikrovolnovaya-pech-samsung-ms-23-k3614-ak,Отеген Батыр,"ул. Жансугурова, 100А",2,59990
MWO,Микроволновая печь HISENSE H20MOMP1H,mikrovolnovaya-pech-hisense-h20momp1h,Отеген Батыр,"ул. Жансугурова, 100А",2,37990
MWO,Микроволновая печь SAMSUNG MS 23 F302 TAS,mikrovolnovaya-pech-samsung-ms-23-f302-tas,Отеген Батыр,"ул. Жансугурова, 100А",2,69990
MWO,Микроволновая печь HISENSE H20MOWS3H (M20XYZ/H20MOWS4),mikrovolnovaya-pech-hisense-h20mows3h-m20xyzh20mows4,Отеген Батыр,"ул. Жансугурова, 100А",9,40990
MWO,Микроволновая печь HISENSE H20MOBP1H,mikrovolnovaya-pech-hisense-h20mobp1h,Отеген Батыр,"ул. Жансугурова, 100А",4,35990
MWO,Микроволновая печь SAMSUNG MS 23 F302 TAK,mikrovolnovaya-pech-samsung-ms-23-f302-tak,Отеген Батыр,"ул. Жансугурова, 100А",2,69990
MWO,Микроволновая печь SAMSUNG MS 23 K3614 AW,mikrovolnovaya-pech-samsung-ms-23-k3614-aw,Отеген Батыр,"ул. Жансугурова, 100А",1,59990
MWO,Микроволновая печь SAMSUNG ME 88 SUG,mikrovolnovaya-pech-samsung-me-88-sug,Отеген Батыр,"ул. Жансугурова, 100А",2,69990
MWO,Кронштейн для СВЧ MART 02 M черный,kronshteyn-dlya-svch-mart-02-m-chernyy,Отеген Батыр,"ул. Жансугурова, 100А",2,4590
MWO,Микроволновая печь HANSA AMG F20E1 SH,mikrovolnovaya-pech-hansa-amg-f20e1-sh,Отеген Батыр,"ул. Жансугурова, 100А",2,44990
MWO,Микроволновая печь HANSA AMG F20E1 WH,mikrovolnovaya-pech-hansa-amg-f20e1-wh,Отеген Батыр,"ул. Жансугурова, 100А",2,44990
MWO,Микроволновая печь ARDESTO GO-M923BI,mikrovolnovaya-pech-ardesto-go-m923bi,Отеген Батыр,"ул. Жансугурова, 100А",2,34990
TV,Телевизор SAMSUNG LED UE75DU8000UXCE UHD SMART,televizor-samsung-led-ue75du8000uxce-uhd-smart,Айтеке Би,"ул. Айтеке Би, 48 (на витрине)",1,769990
TV,Телевизор LG LED 32LQ630B6LA HD SMART,televizor-lg-led-32lq630b6la-hd-smart,Айтеке Би,"ул. Айтеке Би, 48",2,164990
TV,Телевизор LG LED 43LM5772PLA FHD SMART,televizor-lg-led-43lm5772pla-fhd-smart,Айтеке Би,"ул. Айтеке Би, 48",3,219990
TV,Телевизор LED SAMSUNG UE32T5300AUXCE FullHD SMART,televizor-led-samsung-ue32t5300auxce,Айтеке Би,"ул. Айтеке Би, 48",2,144990
TV,Телевизор LED SAMSUNG UE 43 T 5300 (SMART.Wi-Fi),televizor-led-samsung-ue-43-t-5300-smartwi-fi,Айтеке Би,"ул. Айтеке Би, 48",3,184990
TV,Телевизор LED SAMSUNG UE32T4500AUXCE,televizor-led-samsung-ue32t4500auxce,Айтеке Би,"ул. Айтеке Би, 48",2,129990
TV,Телевизор LG LED 43UT80006LA UHD SMART,televizor-lg-led-43ut80006la-uhd-smart,Айтеке Би,"ул. Айтеке Би, 48",2,264990
TV,Телевизор SAMSUNG LED UE65CU8500UXCE UHD SMART,televizor-samsung-led-ue65cu8500uxce-uhd-smart,Айтеке Би,"ул. Айтеке Би, 48 (на витрине)",1,639990
TV,Телевизор SAMSUNG LED UE43CU7100UXUZ,televizor-samsung-led-ue43cu7100uxuz,Айтеке Би,"ул. Айтеке Би, 48 (на витрине)",1,239990
TV,Телевизор LED TCL 55V6B UHD Android TV,televizor-led-tcl-55v6b-uhd-android-tv,Айтеке Би,"ул. Айтеке Би, 48",2,234990
TV,Телевизор LED TCL 43V6B UHD Android TV,televizor-led-tcl-43v6b-uhd-android-tv,Айтеке Би,"ул. Айтеке Би, 48",1,164990
